# LESEPROTOKOLL — maschinell erzeugt, ueberpruefbar
# Repo: EditorAufbauV3  Branch: master (cd94164)
# Erzeugt: 2026-09-04T08:32:48Z
# Spalten: STATUS | ZEILEN | SHA1 | DATEI
#
INVENTUR|   318|9ddf0c4bfb30|src/core/data/quellenArten.ts
INVENTUR|    55|35cde690eabf|src/core/data/quellenEingabe.ts
INVENTUR|   144|ebbf228e2fc3|src/core/data/rechnung.test.ts
VOLL   |   206|aa4ae99eacac|src/core/data/rechnung.ts
INVENTUR|   210|9fc466b577a3|src/core/data/relations.ts
INVENTUR|   177|a53a52cce745|src/core/data/schrittPruefung.test.ts
INVENTUR|   118|0b48160cabc6|src/core/data/schrittPruefung.ts
INVENTUR|   107|66da70eb9fb5|src/core/data/sourceLinks.ts
INVENTUR|    82|2f907cf38261|src/design/masken-tokens.css
VOLL   |   123|5e3c41e0881b|src/editor/canvas/AuswahlLeiste.tsx
VOLL   |   236|bff8ef262ef0|src/editor/canvas/BlockHost.tsx
INVENTUR|   124|44da464aa884|src/editor/canvas/Canvas.tsx
INVENTUR|   172|b87322f25ce3|src/editor/canvas/CanvasNode.tsx
INVENTUR|   331|2e128195c948|src/editor/canvas/FeldBindung.tsx
INVENTUR|   375|868d320de5df|src/editor/canvas/FieldPicker.tsx
INVENTUR|    20|da0a72b4c96f|src/editor/canvas/LeerHinweis.tsx
INVENTUR|   189|5c0a1d07c9a0|src/editor/canvas/PopupSeite.tsx
INVENTUR|    81|ee21a66ac2a4|src/editor/canvas/SeitenLeiste.tsx
TEIL   |   214|5ca846f6a763|src/editor/canvas/SpaltenBedienung.tsx
INVENTUR|    19|bb2534d5fe3c|src/editor/canvas/dnd.ts
INVENTUR|    65|227dbc3c3f1d|src/editor/canvas/dndState.ts
INVENTUR|    88|aaa848eabc32|src/editor/canvas/rasterDnd.ts
INVENTUR|     9|e8e873282d5b|src/editor/canvas/rasterFlaeche.ts
INVENTUR|   102|0aa041c7e37a|src/editor/canvas/rasterMove.ts
INVENTUR|   113|db6c9c49ab54|src/editor/canvas/useBindingPicker.ts
INVENTUR|    63|1bd0570896fb|src/editor/canvas/useBlockResize.ts
INVENTUR|   155|79622de9b050|src/editor/canvas/useLitElement.ts
INVENTUR|    60|0b26252024d2|src/editor/canvas/zieheGroesse.ts
INVENTUR|    50|13bb2e16fcf1|src/editor/inspector/AktionenSektion.tsx
INVENTUR|    99|a2efa81f0667|src/editor/inspector/AuswahlFolgeSektion.tsx
VOLL   |   221|e93d4290b313|src/editor/inspector/Inspector.tsx
INVENTUR|   261|d14194bdb555|src/editor/inspector/PropControl.tsx
INVENTUR|   182|b11554eaf9e5|src/editor/inspector/QuellenListe.tsx
INVENTUR|   148|757d80fc8fea|src/editor/inspector/RechnungSektion.tsx
INVENTUR|    96|a25d4ad680c5|src/editor/inspector/SchluesselPaarZeilen.tsx
INVENTUR|    67|ff6567d86e02|src/editor/inspector/abschnittStand.ts
INVENTUR|    72|bb4a9c41ab06|src/editor/inspector/controls/BildControl.tsx
INVENTUR|    32|59ffee4597c1|src/editor/inspector/controls/ColorTileControl.tsx
INVENTUR|    27|026825ca276e|src/editor/inspector/controls/KachelControl.tsx
INVENTUR|    87|254778f9f818|src/editor/inspector/controls/NumberControl.tsx
INVENTUR|   118|19c4117c1139|src/editor/inspector/controls/PickerControl.tsx
